Quarter,Ticker,Net Profit Margin %,Operating Margin %,EPS (Basic),P/E Ratio,Return on Equity,EBITDA Margin %,Debt to Equity Ratio,Current Ratio,Working Capital Turnover,USD Exchange Rate,FDI:GDP %,GDP Growth %,Sectoral IIP,Sectoral IIP (Growth Rate),Inflation,Interest Rate,Next Quarter Adj Close,Inter Quarter Gain %
Q1-15,AMBUJACEM.ns,9.08,63.7,1.46,159.178,2.196,13.678,0.002,2.03,0.75,63.471,2.663,7.59,120.467,2.177,5.092,7.25,170.0220032,-4.01
Q2-15,AMBUJACEM.ns,7.33,64.629,0.99,234.646,1.49,10.929,0.002,2.03,0.631,64.975,1.915,8.03,117.533,2.44,3.949,6.75,160.6618195,-5.51
Q3-15,AMBUJACEM.ns,4.668,61.547,0.71,291.479,1.067,10.475,0.002,2.03,0.709,65.924,3.235,7.2,114.933,-1.429,5.339,6.75,196.4481659,22.27
Q4-15,AMBUJACEM.ns,2.224,66.575,0.27,723.519,0.276,8.059,0.001,1.228,3.077,67.504,2.531,9.09,125.2,5.595,5.259,6.75,239.066452,21.69
Q1-16,AMBUJACEM.ns,15.722,67.806,2.57,85.992,2.064,22.314,0.001,1.228,3.25,66.891,1.33,8.68,126.467,7.601,5.667,6.5,182.3871002,-23.71
Q2-16,AMBUJACEM.ns,13.821,65.039,1.4,193.75,1.431,18.303,0.001,1.228,2.563,66.962,3.084,9.67,123.033,7.048,5.163,6.5,198.4368744,8.8
Q3-16,AMBUJACEM.ns,8.007,63.161,0.89,271.236,0.909,9.738,0.001,1.228,2.809,67.425,2.889,8.58,121.433,-3.009,3.749,6.25,208.7328796,5.19
Q4-16,AMBUJACEM.ns,9.732,63.241,1.24,184.718,1.234,13.817,0.001,1.335,1.832,67.011,1.898,6.29,128.967,-7.683,3.569,6.25,243.8184814,16.81
Q1-17,AMBUJACEM.ns,13.893,66.336,1.98,124.192,1.964,19.946,0.001,1.335,2.041,64.458,2.079,6.11,128.733,1.792,2.202,6.25,229.7037048,-5.79
Q2-17,AMBUJACEM.ns,11.744,60.419,1.37,192.08,1.364,15.828,0.001,1.335,1.677,64.288,2.954,5.32,126.067,2.465,2.976,6,220.8218079,-3.87
Q3-17,AMBUJACEM.ns,12.474,66.172,1.7,165.588,1.694,16.441,0.001,1.335,1.961,64.729,1.18,6.67,131.767,8.509,4.555,6,179.7376404,-18.61
Q4-17,AMBUJACEM.ns,9.494,64.493,1.37,191.095,1.293,14.622,0.002,1.545,1.414,64.344,1.575,8.93,139.7,15.966,4.594,6,214.8016815,19.51
